Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Affected Products),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (CustomLogic),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment
Copy configuration of ama-es-amadeus to SplitTest,CI-7939,438382,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,,salajan,salajan,29/Dec/22 2:47 PM,03/Jan/23 8:49 AM,02/Jan/23 10:23 AM,,05/Jan/23 12:00 AM,0,,,,"Copy configuration of ama-es-amadeus to SplitTest

https://amadeus.cytric.net/env-a/ibe/?system=SplitTest",,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,Committed,,Configure,,Amadeus,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzzw",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@77b9207c,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
ineos:update sftp server path,CI-7938,438360,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,,Done,,nsanchez,nsanchez,29/Dec/22 11:30 AM,29/Dec/22 3:44 PM,03/Jan/23 12:32 PM,29/Dec/22 3:44 PM,30/Dec/22 12:00 AM,0,,,,"{{please update and maintain the file name character for HongKong Location within 30 Characters or less by removing [_CTY] and size down to [Year] to 2 Chars.}}
{{e.g. Current <104851-5002_HK_26122022_AMD.txt> }}

{{CHANGE TO <104851-5002_261222_AMD.txt>}}

 

 

they have problems with  maximum characters allowed

 ",,,,,,,,,,,,,,,"29/Dec/22 11:43 AM;salajan;image-2022-12-29-11-43-20-997.png;https://jira.ifao.net/secure/attachment/177892/image-2022-12-29-11-43-20-997.png","29/Dec/22 11:43 AM;salajan;image-2022-12-29-11-43-37-510.png;https://jira.ifao.net/secure/attachment/177893/image-2022-12-29-11-43-37-510.png",,,,,,,11.0,,,,,,,,,29/Dec/22 12:00 AM,,2-17019724833,,,Committed,,Configure,,Ineos,,2022-12-29 11:42:44.552,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1w65b:",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:ama-sg-ineosstyrolution
server: amadeusapac
location: INEOS STYROLUTION/Hong Kong
",,2 - Serious,YES,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"29/Dec/22 11:42 AM;salajan;Hi [~nsanchez] 

There is no automatic export job setup for this location. Simply do not export anything and nothing will be sent to the SFTP.;;;","29/Dec/22 11:43 AM;nsanchez;reason:

{{hi, due to the exceeded file name characters, Cytric EXPORT File when transmitted to our SAP, our SAP is unable to move out the File from SAP INBOUND folder and will keep loading to SAP for payment run.}}

{{- This will result 1 Claim can load N times in days unless SAP Users are informed and raise an internal ticket to SAP IT team to remove the file out manually. if EXPORT is done daily, we have to raise internal ticket daily to SAP IT Team}}
{{- Numerous duplicated payment can happen for same claim statement to the staff.}}
{{- Explanation to make Management for this error every time it happens}}
{{- Finance has to arrange Staff to re-pay back to company.}}

{{The implication is that our side have to spend time to rectify this at our side , the numerous party involvement PAYMENT APPROVER + FINANCE + STAFF + SAP IT TEAM.}};;;","29/Dec/22 11:43 AM;salajan;!image-2022-12-29-11-43-20-997.png!

!image-2022-12-29-11-43-37-510.png!;;;","29/Dec/22 11:44 AM;nsanchez;after this they want to change the sftp path :

{{hi, please update and maintain the file name character for HongKong Location within 30 Characters or less by removing [_CTY] and size down to [Year] to 2 Chars.}}
{{e.g. Current <104851-5002_HK_26122022_AMD.txt> CHANGE TO <104851-5002_261222_AMD.txt>}};;;","29/Dec/22 11:46 AM;nsanchez;please as it is not automatic export just correct sftp path as per last comment;;;",
REWE - Copy system in staging server,CI-7937,438350,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,,achattopadhyay,achattopadhyay,29/Dec/22 10:45 AM,03/Jan/23 8:49 AM,03/Jan/23 12:32 PM,,17/Jan/23 12:00 AM,0,,,,"Customer REWE wants a new staging system to be put in place. As such, a new system has been created for them in the staging system. 

https://staging.cytric.net/env-a/ibe/?system=rwe-diba

Please copy the configuration ""as-is"" from the REWE system in world server to this new staging system (rwe-diba).

*System in World server for reference* : *DER-CO-REWEGROUP-DE*

!image-2022-12-29-10-37-33-483.png|thumbnail! 




",,,,,,,,,,,,,,,"29/Dec/22 10:37 AM;achattopadhyay;image-2022-12-29-10-37-33-483.png;https://jira.ifao.net/secure/attachment/177884/image-2022-12-29-10-37-33-483.png",,,,,,,,3.0,,,,,,,,,29/Dec/22 12:00 AM,,,,,Committed,,Configure,,Rewe Group,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzzi",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"https://staging.cytric.net/env-a/ibe/?system=rwe-diba
Staging server",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@74449742,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
MFTBC - Fuel Price Update Jan2023,CI-7936,438267,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,,Done,,nsanchez,nsanchez,28/Dec/22 10:25 AM,29/Dec/22 9:48 AM,03/Jan/23 12:32 PM,29/Dec/22 9:48 AM,01/Jan/23 12:00 AM,0,,,,"please update fuel list prices attached  for:

system: ama-jp-daimler, CLONEofMFTBC ; mftbc-cbfc-clone

*{color:#ff0000}effective date in production:1 jan 23{color}*",,mkuchciak,,,,,,,,,,,,,"28/Dec/22 10:25 AM;nsanchez;Fuel_list_source202301.csv;https://jira.ifao.net/secure/attachment/177814/Fuel_list_source202301.csv",,,,,,,,7.0,,,,,,,,,28/Dec/22 12:00 AM,,2-17016564793,,,Committed,,Configure,,Daimler (MFTBC),,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzxo",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:ama-jp-daimler
(amadeusapac)
location:Mitsubishi Fuso Truck and Bus Corporation",,2 - Serious,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
msg:change pdf text,CI-7935,438259,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,,nsanchez,nsanchez,28/Dec/22 9:20 AM,28/Dec/22 11:47 AM,03/Jan/23 12:32 PM,,02/Jan/23 12:00 AM,0,,,,"please change the pdf text for the following effective 1jan23:

new:

 

{color:#de350b}{*}{{*}}{*}{{*}}WICHTIGE BEARBEITUNGSHINWEISE! BITTE ZWINGEND BEACHTEN!{{*}}{*}{color}
 * *Mit dem Klicken auf „Einreichen“ wurde bzw. wird dieser Report samt aller Deiner zugehörigen Belege digital und revisionssicher an Deinen Arbeitgeber übermittelt.*
 * *Reisekostenabrechnungen müssen von Dir nicht unterschrieben werden.*
 * *Seit 24.10.2022 und der Einführung der digitalen Reisekostenabrechnung ist eine Zusendung etwaiger Papierunterlagen zur Reisekostenabrechnung an Deinen Arbeitgeber nicht mehr notwendig und führt seit 01.01.2023 nur zur Rücksendung dieser an Dich.*

Jira changes format, this is how it has to look like:

!image-2022-12-28-09-27-05-413.png!

 

-and update also signature:

Der unter dem Hinweistext befindliche Aufdruck ""DATUM/UNTERSCHRIFT, EINREICHENDER ___________________"" muss komplett entfernt werden.",,,,,,,,,,,,,,,"28/Dec/22 9:16 AM;nsanchez;image-2022-12-28-09-16-31-462.png;https://jira.ifao.net/secure/attachment/177810/image-2022-12-28-09-16-31-462.png","28/Dec/22 9:27 AM;nsanchez;image-2022-12-28-09-27-05-413.png;https://jira.ifao.net/secure/attachment/177811/image-2022-12-28-09-27-05-413.png",,,,,,,3.0,,,,,,,,,27/Dec/22 12:00 AM,,2-17013393503,,,Committed,,Configure,,msg systems,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzxc",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:msg
server:world
locations:all",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@5e751b0e,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
Fix EMSCC build,CI-7934,438242,Expense Delivery,Configure,CI,codebusters,software,rohkamm,,,,,,salajan,salajan,27/Dec/22 6:02 PM,28/Dec/22 7:58 AM,03/Jan/23 12:32 PM,,31/Dec/22 12:00 AM,0,,,,https://exp-jenkins.home.ifao.net:8443/job/EMSCC/job/Convert%20Bali/lastCompletedBuild/testReport/,,salajan,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,Committed,,Configure,,i:FAO,,,,,Mircea SALAJAN,,Configure / In Progress,,,,,,,,,,,,,,,,,Test System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzz",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,," bali.0065-bali/avery-zweckform
 bali.0193-bali/msg
 bali.0207-bali/Porsche-Test",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@a7091796,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,,,,,,
Allianz - Link & Merge activation,CI-7933,438238,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,,Done,,ssanz,ssanz,27/Dec/22 4:12 PM,28/Dec/22 2:14 PM,03/Jan/23 12:32 PM,28/Dec/22 2:14 PM,03/Jan/23 12:00 AM,0,,,,"Dear Team,

After CI-7307 and CI-7647, please activate the Link and Merge functionalty to production system for all DE locations including ABV AD.

Thank you.

Best regards,

Sandra",,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,13/Dec/22 12:00 AM,,2-16956405773,,,Committed,,Configure,,Allianz,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzy",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"server: amadeus
system: ama-de-allianz
location: All DE locations including ABV AD",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
ProcuRX-Jifiti - Invalid target currency of exchange rate,CI-7932,438228,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,,Rejected,,nsanchez,nsanchez,27/Dec/22 2:47 PM,27/Dec/22 2:52 PM,03/Jan/23 12:32 PM,27/Dec/22 2:52 PM,03/Jan/23 12:00 AM,0,EMS,,,"Could you please adjust the ""expense.currency""
h2. current issue:

Customer get the error for ""{*}Invalid target currency of exchange rate""{*}
I found the past same EMS issue case. ITE-882/CI-7777

The ""home currency"" is always determined by

1) the currency in the TMS of the location of the user (see screenshot below) 
2) the currency in the EMS/Engine configuration from the statutory properties settings (Could not check cause of missing Access/EMS Superadmin role)

If 1) and 2) mismatch usually the observed error is shown.

!image-2022-12-27-14-46-16-611.png!

Example:
#10109325 Created 17NOV22 22:21
user: *nick.kappler@jifiti.com*
*location: JIFITI USA, Columbus*
 
 
h2. target:
 # please fix issue
 # please advise why we get error if it was supposed to be fixed with ci-7777",,,,,,,,,,,,,CI-7777,,"27/Dec/22 2:41 PM;nsanchez;image-2022-12-27-14-41-39-209.png;https://jira.ifao.net/secure/attachment/177789/image-2022-12-27-14-41-39-209.png","27/Dec/22 2:46 PM;nsanchez;image-2022-12-27-14-46-16-611.png;https://jira.ifao.net/secure/attachment/177788/image-2022-12-27-14-46-16-611.png",,,,,,,5.0,,,,,,,,,19/Dec/22 12:00 AM,,2-16983607153,,,Committed,,Configure,,ProcurX,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@3a6bd27d,0,,,,,,Hello,,,,,,,,,,,,"0|i1w5bz:",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"MEGA / ProcuRX-Jifiti
Location: all",,3 - Medium,YES,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"27/Dec/22 2:52 PM;nsanchez;client requested closure;;;",,,,,
msg: new configuration for meal deductions,CI-7931,438225,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,,nsanchez,nsanchez,27/Dec/22 12:36 PM,29/Dec/22 1:17 PM,03/Jan/23 12:32 PM,,12/Jan/23 12:00 AM,0,CLBoard_Pending,,,"1-is this request possible?

{color:#ff0000}*current situation:*{color}

when a user creates a statement (no matter if the itinerary is created manually or from a Cytric travel source) there is
 * breakfast deduction on the first travel day 
 * no breakfast deduction on the last travel day

 

!image-2022-12-27-12-37-11-674.png!

 

{color:#ff0000}*Situation as it should be in the future:*{color}

 
 * {color:#ff0000}statutory values{color}
 * {color:#ff0000}no breakfast deduction on the first day of the trip{color}
 * {color:#ff0000}breakfast deduction from the second day until the last day of the trip{color} 
 ** {color:#172b4d}*Examples:*{color}
 ** {color:#172b4d}*trip from 17. -18. August:* breakfast deduction *NOT* for 17. August *BUT* for 18. August{color} 
 ** *trip from 17. -21. August:* breakfast deduction *NOT* for 17. August *BUT* all other days including 21. August 
 * {{for all countries}}
 * {color:#de350b}{{should apply in all configurations (manual creation of a statement, creation by taking over a travel booking)}}{color}

 

!image-2022-12-27-12-37-29-939.png!

 

2- if not is there any current solution we can apply ? I have been advised to set> not meal received also in the itinerary but I am guessing it cannot be done for a day is not in the itinerary(day after) only for the dates within itinerary, please advise this as well, or if any other solution we can have for client,

fyi: we offered client PM-2616 and they denied it.

 

thank you!

 

 ",,ebert,,,,,,,,,,,CI-6883,,"27/Dec/22 12:37 PM;nsanchez;image-2022-12-27-12-37-11-674.png;https://jira.ifao.net/secure/attachment/177784/image-2022-12-27-12-37-11-674.png","27/Dec/22 12:37 PM;nsanchez;image-2022-12-27-12-37-29-939.png;https://jira.ifao.net/secure/attachment/177785/image-2022-12-27-12-37-29-939.png",,,,,,,3.0,,,,,,,,,13/Dec/22 12:00 AM,,2-16956873743,,,Committed,,Configure,True,msg systems,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@414ce0bc,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzx",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: WORLD
System: MSG
Location: ALL",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@4ca88674,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,
EH: reminder emails update set up on dates/ITE-1484,CI-7930,438212,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,,nsanchez,nsanchez,27/Dec/22 11:02 AM,28/Dec/22 7:58 AM,03/Jan/23 12:32 PM,,03/Jan/23 12:00 AM,0,,,,"Please correct date for set up email reminders as per ITE-1484

cut off date parameter in the Jobs application on the server was presented in a wrong format. Server expects ""dd/MM/yyyy"" - configured is ""dd-MM-yyyy"". This is set in all location level Jobs from EH (>10)

!_SA_Error from all jobs unsettled trip reminder EH.png|thumbnail!

Fix the set up of the jobs (all of them )

+*Follow up:*+

Create task to fix the Jobs that are set up on the Amadeus env-a server for EH.

------------

original set up jobs:

CI-7677
CI-6503",,mkuchciak,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,21/Dec/22 12:00 AM,,2-16993905273,,,Committed,,Configure,,Endress Hauser,,,,,Maciej KUCHCIAK,,Review / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,"0|i1rkcl:hzyzuzzzzztyzzw",,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system:  ama-ch-eh
server:amadeus
locations:all
",,3 - Medium,YES,,,,Codebusters-PI-6.1,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7b1ba7f6,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@72880844,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2055fdb0,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@aae1ad5,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@2cac2861,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@1e54cf98,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@c8d64726,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,,,,,,
