Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Created from Investigation Task),Inward issue link (Created from Investigation Task),Inward issue link (Duplicate),Inward issue link (Feature - LPM Epic),Outward issue link (Feature - LPM Epic),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Affected Products),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (CustomLogic),Custom field (Customer/s),Custom field (Customer/s),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"eberspaecher  - Remove ""expenseStatement.receipts.attachments"" on hidden sections",CI-7429,415891,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,yutaka,yutaka,9/20/2022 8:46,9/22/2022 4:05,12/5/2022 15:24,9/22/2022 4:05,9/23/2022 0:00,0,CCC,CUS,,,"Hello team.

Could you please remove ""expenseStatement.receipts.attachments"" on hidden sections.


{code:java}
      <dataFieldDescriptor code=""HiddenSections"" type=""List"">
        <assignTo>
          <assign type=""${CLASS_SystemConfiguration}"" />
        </assignTo>
        <nameTranslation>
          <name locale=""de_DE"">Default hidden sections for Expense Statement page</name>
          <name locale=""en_US"">Default hidden sections for Expense Statement page</name>
        </nameTranslation>
        <values>
          <item value=""expenseStatement.summary.advance"" />
          <item value=""expenseStatement.summary.attachments"" />
          <item value=""expenseStatement.absences.attachments"" />
          <item value=""expenseStatement.absences.accommodation"" />
        </values>
      </dataFieldDescriptor>
{code}

Best regards,
Yutaka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,2-16531716513,,,Committed,,Configure,,Eberspacher,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1sg9j:,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"STAGING / eberspaecher-test			
Location: All DE",,3 - Medium,YES,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"22/Sep/22 4:05 AM;yutaka;From CI-10223892
ok;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe Red Electrica - Adjust DFD on Accomodation receipt,CI-7426,415818,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,yutaka,yutaka,9/20/2022 2:07,9/20/2022 12:15,12/5/2022 15:24,9/20/2022 12:15,9/22/2022 0:00,0,CCC,CUS,,,"Hello team,

Could you please Adjust DFD on Accomodation receipt.


{code:java}
          <typeName code=""expense.basereceipt.receipt.accomodation"">
            <name locale=""en_US"">Accomodation</name>
            <name locale=""es_ES"">Alojamiento</name>
          	<relatedDFD dfdCode=""recargo"" />
          	<relatedDFD dfdCode=""Ruc"" />
          	<relatedDFD dfdCode=""Name of provider"" />
          	<relatedDFD dfdCode=""Type of document"" />
{code}
 

Best regards,
Yutaka

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,2-16529839923,,,Committed,,Configure,,Grupo Red Electrica,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1sftz:,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Amadeus / ama-es-GrupoRedElectrica
Location: PE",,3 - Medium,YES,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"20/Sep/22 12:15 PM;yutaka;From CI-10223862
ok;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
dmD: Not able to create new expense statements ,CI-7425,415806,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,ccasper,ccasper,9/19/2022 17:47,9/23/2022 9:34,12/5/2022 15:24,9/23/2022 9:34,9/20/2022 0:00,0,,,,,"Customer dm is reporting that they cannot create new expense statements for their system. 

I tried myself as a user and as an arranger. Both lead to the below error:

!image-2022-09-19-17-47-03-158.png!",,ebert,,,,,,,,,,,,,,,,,,,,,,,,,,,CI-6979,,,,,,19/Sep/22 5:47 PM;ccasper;image-2022-09-19-17-47-03-158.png;https://jira.ifao.net/secure/attachment/165432/image-2022-09-19-17-47-03-158.png,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,Committed,,Configure,,dm-drogerie markt,,,,,gmalarski,,,,Closed,,CI-6979,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@519dc414,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:di,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: amadeus2
System: https://amadeus2.cytric.net/ama-de-dm-drogeriemarkt
Location: dm-drogerie markt Testlocation DE",,3 - Medium,YES,,,,Codebusters-PI5.1,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMS Traininig - UK - Load VEGAS configuration in BALI,CI-7424,415790,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,arastrilla,arastrilla,9/19/2022 16:35,11/18/2022 13:48,12/5/2022 15:24,,9/22/2022 0:00,0,,,,,"h2. VEGAS INITIALIZATION
h3. DESCRIPTION

{color:#444444}WHAT - We need to load receipts to build an EMS Training environment. Find attached the script to configure VEGAS.{color}
h3. BUSINESS NEED

WHY - we target two objectives

1- validate EMS in BALI

2- spread EMS knowledge between Implementation teams.
h3. PHASE (select one option)
 * DEV

CUSTOMER Name - INTERNAL - CSM IMPLEM

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Sep/22 4:40 PM;arastrilla;OUTPUT_ET_UK.xml;https://jira.ifao.net/secure/attachment/165422/OUTPUT_ET_UK.xml,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,i:FAO,,,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzx5qp,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server - BALI
system - emstraining
location - Location Andres RASTRILLA",,3 - Medium,YES,,,,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@57d5bddf,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numiga Hensoldt - Add system text,CI-7423,415783,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,aruizrobles,aruizrobles,9/19/2022 16:21,9/26/2022 9:33,12/5/2022 15:24,9/26/2022 9:33,9/26/2022 0:00,0,Partners,,,,"System: bcdtravel-de-hensoldt
 Hello team,
 Please add the following system text in the following sections:
 expenseStatement.absences.travelSchedule.topOfTab
 expenseStatement.absences.receivedMeals.topOfTab

DE: Bitte wählen Sie alle Mahlzeiten aus, die Sie auf der Reise erhalten haben (im Hotel, durch Dritte, bei einer Bewirtung, bei einem Event, etc.)

EN: Please select any meals you received on the trip (at the hotel, through third party, at a hospitality, event, etc.).

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9/19/2022 0:00,,2-16517326053,,,Committed,,Configure,,Numiga,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:ci,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: BALI ; mega
System: bcdtravel-de-hensoldt
Location: all locations ; main configuration",,3 - Medium,YES,,,,Codebusters-PI5.1,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conflict correction,CI-7422,415482,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,devries,devries,9/19/2022 9:58,9/19/2022 10:01,12/5/2022 15:24,9/19/2022 10:01,9/19/2022 0:00,0,,,,,Please fix the conflict in ce-configs pull requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,Committed,,Configure,,vegas,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1sdvr:,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEBB - ITE-1145 CE: Error message with uploading receipts with various file types,CI-7421,415131,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,skarja,skarja,9/16/2022 11:20,11/18/2022 1:53,12/5/2022 15:24,11/18/2022 1:53,9/23/2022 0:00,0,,,,,"Dear colleagues,

issue was already analysed with https://jira.ifao.net/browse/ITE-1145 (CE: Error message with uploading receipts with various file types).

*{color:#de350b}Problem:{color}*
 uploading attached receipts in CE on Staging server leads into an error message

{color:#de350b}*Solution, propose by Doreen Ebert:*{color}

+*Issue as reported:*+
It is reported that it is not possible to upload attachments on the given system

+*Labels:*+
invalid configuration

+*Root Cause:*+
The configuration is leading to this behavior. Please have the attachment types in a findUnit

+*Solution:*+
Please have Delivery adjust the configuration

+*Follow up:*+
Open a CI



system: [https://staging.cytric.net/oebb-test]

Session 16709716 gestartet um: 15 September 2022 12:15 via cWS
 [Benutzername kerstin.menges@amadeus.com|mailto:Benutzername%C2%A0kerstin.menges@amadeus.com]

 

Steps to reproduce:
 * Creating a new statements with configuration ""Dienstreise""
 * Click on ""add receipt""
 * Select the attached files in PDF, PNG and JPG
 * Attached error message occurs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITE-1145,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,9/16/2022 0:00,,2-16516708833,,,Committed,,Configure,,OBB,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@3b51944e,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzi00a,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: Staging
System: https://staging.cytric.net/oebb-test
location / division: all",,3 - Medium,YES,,,,Codebusters-PI5.1,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endress Hauser - Add new costome logic for ""log.debug(""warnings found -> cutting error to 1300 characters"");",CI-7420,415068,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,yutaka,yutaka,9/16/2022 10:20,10/13/2022 10:32,12/5/2022 15:24,10/13/2022 10:32,9/22/2022 0:00,0,,,,,"Hello team,

Customers received an error and will not be able to submit a statement if the ""warning message"" exceeds 1,500 characters.
If the number of characters exceeds ""1,300"" please deploy additional logic to cut messages over 1,300 characters.


{code:java}
          log.debug(""warnings found -> cutting error to 1300 characters"");
          expense.putStringLink(warningLinkRole, (warningsFDF +  ""\n"" + finalWarningMessage).substr(0, 1300));
      } else {
        expense.putStringLink(warningLinkRole, finalWarningMessage.substr(0, 1300));
{code}
Best regards,
Yutaka",,,,,,,,,,,,,,,,,,,,,,,,,,CI-7460,CI-7359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,2-16467535923,,,Committed,,Configure,,Endress Hauser,,,,29:40.2,,,,,Closed (relates to),,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@633f9600,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzp,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Amadeus /ama-ch-eh
Location: IT",,3 - Medium,YES,,,,Codebusters-PI5.1,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"29/Sep/22 1:29 PM;mstaszek;Hello [~yutaka] :)

Issue corrected on IT locations -> warning trimed at 1500 characters.
Additionally I found other error. In the beggining of warning there was always null instead of Warning! or Attenzione!

 

Finally there was some changes in made in CI-7359 3 weeks ago.

All old linkRoles was modified and expense. prefix was deleted, but there was missing refactor in custom scripts to work with new and old statement.

In current ticket all logic was refactored in GB and FR locations.

Thank you!;;;","03/Oct/22 4:24 AM;yutaka;[~mstaszek] 
Hello Marcin san,
Thank you for your update and infomation!
is there anything i need to do in tickets?;;;","03/Oct/22 11:00 AM;mstaszek;Hello [~yutaka] san,

Yes you can test on prod and communicate :)

Thank you!;;;","13/Oct/22 10:32 AM;yutaka;From CI-10224601
Thank you;;;",,,,,,,,,,,,,,,,,,,,,,,
Test the new hidden sections,CI-7419,414973,Expense Delivery,Configure,CI,codebusters,software,rohkamm,,,,,salajan,salajan,9/16/2022 8:23,11/18/2022 13:48,12/5/2022 15:24,,9/16/2022 0:00,0,,,,,Test in a demo system the new hidden sections of EXM-334,,salajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Committed,,Configure,,i:FAO,,,,,,,Mircea SALAJAN,,Configure / In Progress,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzx5q6,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,a demo system...,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@68b7c1d6,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAT - remove receipt,CI-7418,414935,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,yutaka,yutaka,9/16/2022 4:40,10/6/2022 4:19,12/5/2022 15:24,10/6/2022 4:19,9/21/2022 0:00,0,CCC,CUS,,,"Hello team,

Could you please remove the receipt


{code:java}
          <typeName code=""expense.basereceipt.receipt.mileage"">
            <name locale=""en_GB"">Business Mileage</name>
            <name locale=""en_US"">Business Mileage</name>
            <name locale=""de_DE"">Meilenzahl</name>
            <name locale=""pt_PT"">Quilometragem</name>
            <name locale=""es_ES"">Kilometraje</name>
          </typeName>
{code}

Best regards,
Yutaka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,2-16469522053,,,Committed,,Configure,,VW,,,,,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzn,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Amadeus / ama-es-seat
Location: all",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"06/Oct/22 4:19 AM;yutaka;From CI-10223893
ok;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Numiga Rhenus - Change GL account,CI-7417,414890,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,aruizrobles,aruizrobles,9/15/2022 17:56,10/7/2022 9:02,12/5/2022 15:24,10/7/2022 9:02,9/23/2022 0:00,0,FridaySweep,Partners,,,"system: lcc-lueckertz-rhenus

Hello team, 

Please, change the GL account for the following locations:
 * auto.mates solutions GmbH 1990010000
 * Rhenus High Tech GmbH CS Leipzig 3370750000
 * Rhenus High Tech GmbH Depot Leipzig 3370080000
 * Rhenus High Tech GmbH Depot Nürnberg 3370100000
 * Rhenus High Tech GmbH Europa Hub 3370530000

The new gl account is: 490000

Thank you!

Alejandro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS-29500,ITS-29443,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,9/15/2022 0:00,,2-16512932293,,,Committed,,Configure,,Numiga,,,,32:46.9,,,,,Closed,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@c74821e1,0,,,,,,Hello,,,,,,,,,,,,0|i1pp5a:zzzzm,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: mega ; BALI
System: lcc-lueckertz-rhenus
Location: auto.mates solutions GmbH (1990010000), Rhenus High Tech CS GmbH Leipzig (3370750000), Rhenus High Tech Depot Leipzig (3370080000), Rhenus High Tech Depot Nürnberg (3370100000), Rhenus High Tech Europa Hub (3370530000)",,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"28/Sep/22 8:32 AM;jtkacz;Hi [~mkuchciak] and [~aruizrobles],
what is blocking you in this CI? Do you need more information to proceed?;;;","28/Sep/22 9:08 AM;mkuchciak;Hi [~jtkacz],

I was waiting for ITS-29500 to send me locations id. Now I got the feedback so can proceed.

Thanks!;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Vaillant TK : UAT changes,CI-7416,414697,Expense Delivery,Import to Test,CI,codebusters,software,rohkamm,,,,,achattopadhyay,achattopadhyay,9/15/2022 12:45,12/5/2022 14:31,12/5/2022 15:24,,9/21/2022 0:00,0,,,,,"Please put back the previously requested conditional WF.

CWF requested : Statement should go for 2nd level approval only when total reimbursement amount is >= 4000 TRY. 

System : ama-de-vaillant
Location : Turkey
Server : Amademea

",,djagodzki,,,,,,,,,,,,,,ITS-32544,,,,,,,,,,,,,CI-7155,,,,,,21/Sep/22 11:55 AM;djagodzki;image-2022-09-21-11-55-03-089.png;https://jira.ifao.net/secure/attachment/165695/image-2022-09-21-11-55-03-089.png,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,9/15/2022 0:00,,,,,Committed,,Configure,,Vaillant,,,,47:19.2,djagodzki,,Dominik JAGODZKI,,Import to Test / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@991837a5,0,,,,,,Hello,,,,,,4-Nov-22,,,,,,0|i1rkcl:hzx5r3,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,amademea : ama-de-vaillant,,3 - Medium,YES,,,,Codebusters-PI4.5,Codebusters-PI5.1,Codebusters-PI5.2,Codebusters-PI5.3,Codebusters-PI5.4,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@4f18fc3e,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,"20/Sep/22 2:47 PM;mstaszek;Hello [~achattopadhyay] :)

I think we need some more information.;;;","20/Sep/22 2:58 PM;achattopadhyay;Dominik is aware, The CWF was already half way done. This needs to be put back in the system. Let me know if any other specific information is needed. ;;;","21/Sep/22 11:58 AM;djagodzki;Conditional Workflow from latest ERS:
 Copy of Extended approval process, where 2nd approval is skipped when total reimbursement <4000 TRY.
 Workflow was first cancelled and then requested again so auto approval time outs are not set yet.

!image-2022-09-21-11-55-03-089.png!

More info in the old ticket:
 https://jira.ifao.net/browse/CI-7155

 [~achattopadhyay],
There are no additional conditions for WF, right?;;;",22/Sep/22 12:34 PM;achattopadhyay;[~djagodzki] please suspend the ticket until further notice;;;,22/Sep/22 12:46 PM;djagodzki;Suspended until further notice;;;,22/Nov/22 2:40 PM;achattopadhyay;Project has been resumed effective 21.11.2022. Please continue with the deployment. ;;;,,,,,,,,,,,,,,,,,,,,,
